"Anchor_seq","Anchor_start","Anchor_end","Cruciform_seq","Cruciform_start","Cruciform_end","Distancia_kb"
"NC_002607.1",8749,8787,"NC_002607.1",8760,8774,0
"NC_002607.1",8787,8982,"NC_002607.1",8760,8774,0.012
"NC_002607.1",8982,9059,"NC_002607.1",9013,9028,0
"NC_002607.1",9059,9363,"NC_002607.1",9158,9183,0
"NC_002607.1",9363,9429,"NC_002607.1",9158,9183,0.179
"NC_002607.1",9429,9479,"NC_002607.1",9672,9687,0.192
"NC_002607.1",9479,9511,"NC_002607.1",9672,9687,0.16
"NC_002607.1",9511,9647,"NC_002607.1",9672,9687,0.024
"NC_002607.1",9647,9655,"NC_002607.1",9672,9687,0.016
"NC_002607.1",9655,9681,"NC_002607.1",9672,9687,0
"NC_002607.1",9681,9733,"NC_002607.1",9672,9687,0
"NC_002607.1",9733,9779,"NC_002607.1",9672,9687,0.045
"NC_002607.1",9779,9924,"NC_002607.1",9672,9687,0.091
"NC_002607.1",9924,10068,"NC_002607.1",10034,10047,0
"NC_002607.1",10094,10124,"NC_002607.1",10034,10047,0.046
"NC_002607.1",10124,10514,"NC_002607.1",10536,10554,0.021
"NC_002607.1",10514,10603,"NC_002607.1",10536,10554,0
"NC_002607.1",10603,10860,"NC_002607.1",10652,10663,0
"NC_002607.1",10860,10990,"NC_002607.1",10919,10933,0
"NC_002607.1",10990,11202,"NC_002607.1",11117,11128,0
"NC_002607.1",11202,11540,"NC_002607.1",11117,11128,0.073
"NC_002607.1",11540,13132,"NC_002607.1",11843,11855,0
"NC_002607.1",13132,13191,"NC_002607.1",13027,13039,0.092
"NC_002607.1",13191,13281,"NC_002607.1",13027,13039,0.151
"NC_002607.1",13281,13590,"NC_002607.1",13027,13039,0.241
"NC_002607.1",13590,13620,"NC_002607.1",13027,13039,0.55
"NC_002607.1",13620,13844,"NC_002607.1",14343,14356,0.498
"NC_002607.1",13844,14114,"NC_002607.1",14343,14356,0.228
"NC_002607.1",14114,14499,"NC_002607.1",14343,14356,0
"NC_002607.1",14499,14524,"NC_002607.1",14618,14632,0.093
"NC_002607.1",14524,14535,"NC_002607.1",14618,14632,0.082
"NC_002607.1",14535,14678,"NC_002607.1",14618,14632,0
"NC_002607.1",14678,15394,"NC_002607.1",14618,14632,0.045
"NC_002607.1",15394,15428,"NC_002607.1",14618,14632,0.761
"NC_002607.1",15428,15934,"NC_002607.1",16460,16485,0.525
"NC_002607.1",15934,16254,"NC_002607.1",16460,16485,0.205
"NC_002607.1",17523,17683,"NC_002607.1",17583,17614,0
"NC_002607.1",17683,17905,"NC_002607.1",17716,17730,0
"NC_002607.1",17905,17970,"NC_002607.1",17767,17781,0.123
"NC_002607.1",17970,18360,"NC_002607.1",18174,18192,0
"NC_002607.1",18360,18375,"NC_002607.1",18174,18192,0.167
"NC_002607.1",18375,18402,"NC_002607.1",18174,18192,0.182
"NC_002607.1",18402,18608,"NC_002607.1",18174,18192,0.209
"NC_002607.1",18608,18739,"NC_002607.1",18174,18192,0.415
"NC_002607.1",18739,18910,"NC_002607.1",18174,18192,0.546
"NC_002607.1",18910,18984,"NC_002607.1",19537,19556,0.552
"NC_002607.1",18984,19059,"NC_002607.1",19537,19556,0.477
"NC_002607.1",19059,19175,"NC_002607.1",19537,19556,0.361
"NC_002607.1",19175,19179,"NC_002607.1",19537,19556,0.357
"NC_002607.1",19179,19484,"NC_002607.1",19537,19556,0.052
"NC_002607.1",19484,19602,"NC_002607.1",19537,19556,0
"NC_002607.1",19602,19632,"NC_002607.1",19537,19556,0.045
"NC_002607.1",19632,19680,"NC_002607.1",19537,19556,0.075
"NC_002607.1",19680,19841,"NC_002607.1",19537,19556,0.123
"NC_002607.1",19841,20210,"NC_002607.1",20331,20346,0.12
"NC_002607.1",20210,20595,"NC_002607.1",20331,20346,0
"NC_002607.1",20595,21079,"NC_002607.1",20898,20910,0
"NC_002607.1",21079,21098,"NC_002607.1",21031,21045,0.033
"NC_002607.1",21098,21113,"NC_002607.1",21031,21045,0.052
"NC_002607.1",21113,21400,"NC_002607.1",21171,21183,0
"NC_002607.1",21400,21539,"NC_002607.1",21427,21439,0
"NC_002607.1",21539,22592,"NC_002607.1",22065,22077,0
"NC_002607.1",22592,23294,"NC_002607.1",22379,22393,0.198
"NC_002607.1",23294,23482,"NC_002607.1",22379,22393,0.9
"NC_002607.1",23482,23713,"NC_002607.1",24582,24595,0.868
"NC_002607.1",23713,23747,"NC_002607.1",24582,24595,0.834
"NC_002607.1",23747,24664,"NC_002607.1",24582,24595,0
"NC_002607.1",24664,24816,"NC_002607.1",24582,24595,0.068
"NC_002607.1",24816,26115,"NC_002607.1",24958,24972,0
"NC_002607.1",26115,26543,"NC_002607.1",26564,26576,0.02
"NC_002607.1",26543,26601,"NC_002607.1",26564,26576,0
"NC_002607.1",26601,26938,"NC_002607.1",26677,26713,0
"NC_002607.1",26938,27002,"NC_002607.1",26677,26713,0.224
"NC_002607.1",27002,27169,"NC_002607.1",26677,26713,0.288
"NC_002607.1",27169,27668,"NC_002607.1",27891,27906,0.222
"NC_002607.1",27668,27695,"NC_002607.1",27891,27906,0.195
"NC_002607.1",27695,27705,"NC_002607.1",27891,27906,0.185
"NC_002607.1",27705,27782,"NC_002607.1",27891,27906,0.108
"NC_002607.1",27782,27929,"NC_002607.1",27891,27906,0
"NC_002607.1",27929,28027,"NC_002607.1",27957,27969,0
"NC_002607.1",28027,28459,"NC_002607.1",28199,28213,0
"NC_002607.1",28459,28472,"NC_002607.1",28532,28543,0.059
"NC_002607.1",28472,28588,"NC_002607.1",28532,28543,0
"NC_002607.1",28588,28747,"NC_002607.1",28532,28543,0.044
"NC_002607.1",28747,28809,"NC_002607.1",28532,28543,0.203
"NC_002607.1",28809,28847,"NC_002607.1",28532,28543,0.265
"NC_002607.1",28847,28857,"NC_002607.1",28532,28543,0.303
"NC_002607.1",28857,28874,"NC_002607.1",28532,28543,0.313
"NC_002607.1",28874,28904,"NC_002607.1",28532,28543,0.33
"NC_002607.1",28904,29080,"NC_002607.1",28532,28543,0.36
"NC_002607.1",29080,29696,"NC_002607.1",29826,29839,0.129
"NC_002607.1",29696,29742,"NC_002607.1",29826,29839,0.083
"NC_002607.1",29742,29871,"NC_002607.1",29826,29839,0
"NC_002607.1",29871,30065,"NC_002607.1",29826,29839,0.031
"NC_002607.1",30065,30318,"NC_002607.1",30341,30371,0.022
"NC_002607.1",30318,30406,"NC_002607.1",30341,30371,0
"NC_002607.1",30406,30426,"NC_002607.1",30341,30371,0.034
"NC_002607.1",30426,30471,"NC_002607.1",30341,30371,0.054
"NC_002607.1",30471,30512,"NC_002607.1",30558,30575,0.045
"NC_002607.1",30512,30653,"NC_002607.1",30558,30575,0
"NC_002607.1",30653,30920,"NC_002607.1",30637,30668,0
"NC_002607.1",30920,30975,"NC_002607.1",30856,30887,0.032
"NC_002607.1",30975,31080,"NC_002607.1",31066,31100,0
"NC_002607.1",31080,31102,"NC_002607.1",31066,31100,0
"NC_002607.1",31102,31214,"NC_002607.1",31066,31100,0.001
"NC_002607.1",31214,31342,"NC_002607.1",31066,31100,0.113
"NC_002607.1",31342,31346,"NC_002607.1",31066,31100,0.241
"NC_002607.1",31346,31364,"NC_002607.1",31066,31100,0.245
"NC_002607.1",31364,31388,"NC_002607.1",31066,31100,0.263
"NC_002607.1",31388,31549,"NC_002607.1",31666,31680,0.116
"NC_002607.1",31549,31796,"NC_002607.1",31666,31680,0
"NC_002607.1",31796,31856,"NC_002607.1",31666,31680,0.115
"NC_002607.1",31856,31911,"NC_002607.1",31666,31680,0.175
"NC_002607.1",31911,31989,"NC_002607.1",31666,31680,0.23
"NC_002607.1",31989,32072,"NC_002607.1",32241,32350,0.168
"NC_002607.1",32072,32120,"NC_002607.1",32241,32350,0.12
"NC_002607.1",32120,32124,"NC_002607.1",32241,32350,0.116
"NC_002607.1",32124,32245,"NC_002607.1",32241,32350,0
"NC_002607.1",32245,32343,"NC_002607.1",32241,32350,0
"NC_002607.1",32343,32361,"NC_002607.1",32241,32350,0
"NC_002607.1",32361,32611,"NC_002607.1",32547,32579,0
"NC_002607.1",32611,32860,"NC_002607.1",32547,32579,0.031
"NC_002607.1",32860,32932,"NC_002607.1",32547,32579,0.28
"NC_002607.1",32932,32996,"NC_002607.1",32547,32579,0.352
"NC_002607.1",32996,33153,"NC_002607.1",32547,32579,0.416
"NC_002607.1",33153,33276,"NC_002607.1",32547,32579,0.573
"NC_002607.1",33276,33478,"NC_002607.1",34051,34064,0.572
"NC_002607.1",33478,33615,"NC_002607.1",34051,34064,0.435
"NC_002607.1",33615,33686,"NC_002607.1",34051,34064,0.364
"NC_002607.1",33686,34082,"NC_002607.1",34051,34064,0
"NC_002607.1",34082,34195,"NC_002607.1",34149,34194,0
"NC_002607.1",34195,35060,"NC_002607.1",34149,34194,0
"NC_002607.1",35060,35342,"NC_002607.1",35433,35447,0.09
"NC_002607.1",35342,35984,"NC_002607.1",35433,35447,0
"NC_002607.1",35984,36340,"NC_002607.1",36032,36051,0
"NC_002607.1",36340,36395,"NC_002607.1",36373,36393,0
"NC_002607.1",36395,36642,"NC_002607.1",36373,36393,0.001
"NC_002607.1",36642,36664,"NC_002607.1",36373,36393,0.248
"NC_002607.1",36664,36836,"NC_002607.1",36994,37019,0.157
"NC_002607.1",36836,36973,"NC_002607.1",36994,37019,0.02
"NC_002607.1",36973,37055,"NC_002607.1",36994,37019,0
"NC_002607.1",37055,37207,"NC_002607.1",37178,37192,0
"NC_002607.1",37207,37219,"NC_002607.1",37178,37192,0.014
"NC_002607.1",37219,37654,"NC_002607.1",37178,37192,0.026
"NC_002607.1",37654,37672,"NC_002607.1",37994,38013,0.321
"NC_002607.1",37672,37737,"NC_002607.1",37994,38013,0.256
"NC_002607.1",37737,37846,"NC_002607.1",37994,38013,0.147
"NC_002607.1",37846,37961,"NC_002607.1",37994,38013,0.032
"NC_002607.1",37961,37972,"NC_002607.1",37994,38013,0.021
"NC_002607.1",37972,38534,"NC_002607.1",37994,38013,0
"NC_002607.1",38534,38658,"NC_002607.1",39050,39063,0.391
"NC_002607.1",38658,38856,"NC_002607.1",39050,39063,0.193
"NC_002607.1",38856,38975,"NC_002607.1",39050,39063,0.074
"NC_002607.1",38975,39478,"NC_002607.1",39050,39063,0
"NC_002607.1",39478,39902,"NC_002607.1",40005,40023,0.102
"NC_002607.1",39902,39918,"NC_002607.1",40005,40023,0.086
"NC_002607.1",39918,40042,"NC_002607.1",40005,40023,0
"NC_002607.1",40042,40053,"NC_002607.1",40042,40056,0
"NC_002607.1",40053,40396,"NC_002607.1",40042,40056,0
"NC_002607.1",40396,40441,"NC_002607.1",40184,40195,0.2
"NC_002607.1",40441,40482,"NC_002607.1",40184,40195,0.245
"NC_002607.1",40482,40779,"NC_002607.1",40184,40195,0.286
"NC_002607.1",40779,41013,"NC_002607.1",40184,40195,0.583
"NC_002607.1",41013,41032,"NC_002607.1",40184,40195,0.817
"NC_002607.1",41032,41155,"NC_002607.1",40184,40195,0.836
"NC_002607.1",41155,41516,"NC_002607.1",40184,40195,0.959
"NC_002607.1",41516,41806,"NC_002607.1",40184,40195,1.32
"NC_002607.1",41806,42076,"NC_002607.1",40184,40195,1.61
"NC_002607.1",42076,43129,"NC_002607.1",40184,40195,1.88
"NC_002607.1",43129,43310,"NC_002607.1",45193,45204,1.882
"NC_002607.1",43310,43488,"NC_002607.1",45193,45204,1.704
"NC_002607.1",43488,43894,"NC_002607.1",45193,45204,1.298
"NC_002607.1",43894,44048,"NC_002607.1",45193,45204,1.144
"NC_002607.1",44048,44695,"NC_002607.1",45193,45204,0.497
"NC_002607.1",44695,44899,"NC_002607.1",45193,45204,0.293
"NC_002607.1",44899,44933,"NC_002607.1",45193,45204,0.259
"NC_002607.1",44933,45008,"NC_002607.1",45193,45204,0.184
"NC_002607.1",45008,45588,"NC_002607.1",45193,45204,0
"NC_002607.1",45588,45700,"NC_002607.1",45634,45646,0
"NC_002607.1",46772,47361,"NC_002607.1",46760,46782,0
"NC_002607.1",48319,48673,"NC_002607.1",48326,48359,0
"NC_002607.1",48673,48855,"NC_002607.1",48733,48824,0
"NC_002607.1",48855,49395,"NC_002607.1",49375,49391,0
"NC_002607.1",49395,49550,"NC_002607.1",49375,49391,0.003
"NC_002607.1",49550,49824,"NC_002607.1",49375,49391,0.158
"NC_002607.1",49824,49871,"NC_002607.1",49375,49391,0.432
"NC_002607.1",49871,49998,"NC_002607.1",49375,49391,0.479
"NC_002607.1",49998,50084,"NC_002607.1",50615,50629,0.53
"NC_002607.1",50084,50262,"NC_002607.1",50615,50629,0.352
"NC_002607.1",50262,50472,"NC_002607.1",50615,50629,0.142
"NC_002607.1",50472,50550,"NC_002607.1",50615,50629,0.064
"NC_002607.1",50550,50584,"NC_002607.1",50615,50629,0.03
"NC_002607.1",50584,50723,"NC_002607.1",50615,50629,0
"NC_002607.1",50723,50744,"NC_002607.1",50656,50687,0.035
"NC_002607.1",50744,51005,"NC_002607.1",50803,50828,0
"NC_002607.1",51005,51013,"NC_002607.1",51004,51017,0
"NC_002607.1",51013,51056,"NC_002607.1",51004,51017,0
"NC_002607.1",51056,51261,"NC_002607.1",51004,51017,0.038
"NC_002607.1",51261,51330,"NC_002607.1",51333,51347,0.002
"NC_002607.1",51330,51419,"NC_002607.1",51333,51347,0
"NC_002607.1",51419,51589,"NC_002607.1",51600,51636,0.01
"NC_002607.1",51589,51712,"NC_002607.1",51600,51636,0
"NC_002607.1",51712,51735,"NC_002607.1",51785,51810,0.049
"NC_002607.1",51735,51848,"NC_002607.1",51785,51810,0
"NC_002607.1",51848,52067,"NC_002607.1",52057,52087,0
"NC_002607.1",52067,52187,"NC_002607.1",52057,52087,0
"NC_002607.1",52187,52325,"NC_002607.1",52218,52233,0
"NC_002607.1",52325,52395,"NC_002607.1",52409,52424,0.013
"NC_002607.1",52395,52442,"NC_002607.1",52409,52424,0
"NC_002607.1",52442,52524,"NC_002607.1",52409,52424,0.017
"NC_002607.1",52524,52700,"NC_002607.1",52409,52424,0.099
"NC_002607.1",52700,52854,"NC_002607.1",52409,52424,0.275
"NC_002607.1",52854,53806,"NC_002607.1",53960,53975,0.153
"NC_002607.1",53806,53924,"NC_002607.1",53960,53975,0.035
"NC_002607.1",53924,53964,"NC_002607.1",53960,53975,0
"NC_002607.1",53964,54611,"NC_002607.1",53960,53975,0
"NC_002607.1",54611,54640,"NC_002607.1",53960,53975,0.635
"NC_002607.1",54640,54852,"NC_002607.1",53960,53975,0.664
"NC_002607.1",54852,55018,"NC_002607.1",53960,53975,0.876
"NC_002607.1",55018,55225,"NC_002607.1",55918,55929,0.692
"NC_002607.1",55225,55351,"NC_002607.1",55918,55929,0.566
"NC_002607.1",55351,55579,"NC_002607.1",55918,55929,0.338
"NC_002607.1",55579,55870,"NC_002607.1",55918,55929,0.047
"NC_002607.1",55870,55922,"NC_002607.1",55918,55929,0
"NC_002607.1",55922,55955,"NC_002607.1",55918,55929,0
"NC_002607.1",55955,56485,"NC_002607.1",56240,56278,0
"NC_002607.1",57396,57590,"NC_002607.1",57388,57403,0
"NC_002607.1",57590,57828,"NC_002607.1",57865,57880,0.036
"NC_002607.1",57828,57850,"NC_002607.1",57865,57880,0.014
"NC_002607.1",57850,58663,"NC_002607.1",57865,57880,0
"NC_002607.1",58663,58878,"NC_002607.1",58088,58106,0.556
"NC_002607.1",58878,58951,"NC_002607.1",58088,58106,0.771
"NC_002607.1",58951,58996,"NC_002607.1",58088,58106,0.844
"NC_002607.1",58996,59023,"NC_002607.1",58088,58106,0.889
"NC_002607.1",59023,59412,"NC_002607.1",60034,60104,0.621
"NC_002607.1",59412,59477,"NC_002607.1",60034,60104,0.556
"NC_002607.1",59477,59579,"NC_002607.1",60034,60104,0.454
"NC_002607.1",59579,59598,"NC_002607.1",60034,60104,0.435
"NC_002607.1",59598,59933,"NC_002607.1",60034,60104,0.1
"NC_002607.1",59933,60015,"NC_002607.1",60034,60104,0.018
"NC_002607.1",60015,60648,"NC_002607.1",60034,60104,0
"NC_002607.1",60648,60835,"NC_002607.1",60577,60589,0.058
"NC_002607.1",60835,61455,"NC_002607.1",61631,61645,0.175
"NC_002607.1",61455,61652,"NC_002607.1",61631,61645,0
"NC_002607.1",61652,61661,"NC_002607.1",61631,61645,0.006
"NC_002607.1",61661,61733,"NC_002607.1",61631,61645,0.015
"NC_002607.1",61733,61784,"NC_002607.1",61631,61645,0.087
"NC_002607.1",61784,62062,"NC_002607.1",61631,61645,0.138
"NC_002607.1",62062,62236,"NC_002607.1",62339,62404,0.102
"NC_002607.1",62236,62415,"NC_002607.1",62339,62404,0
"NC_002607.1",62415,62483,"NC_002607.1",62339,62404,0.01
"NC_002607.1",62483,62504,"NC_002607.1",62339,62404,0.078
"NC_002607.1",62504,62658,"NC_002607.1",62592,62607,0
"NC_002607.1",62658,62803,"NC_002607.1",62592,62607,0.05
"NC_002607.1",62803,62886,"NC_002607.1",63064,63077,0.177
"NC_002607.1",62886,63112,"NC_002607.1",63064,63077,0
"NC_002607.1",63112,63311,"NC_002607.1",63064,63077,0.034
"NC_002607.1",63311,63401,"NC_002607.1",63560,63576,0.158
"NC_002607.1",63401,63452,"NC_002607.1",63560,63576,0.107
"NC_002607.1",63452,63827,"NC_002607.1",63560,63576,0
"NC_002607.1",63827,63900,"NC_002607.1",63707,63720,0.106
"NC_002607.1",63900,64023,"NC_002607.1",63707,63720,0.179
"NC_002607.1",64023,64487,"NC_002607.1",63707,63720,0.302
"NC_002607.1",64487,64581,"NC_002607.1",65221,65232,0.639
"NC_002607.1",64581,64694,"NC_002607.1",65221,65232,0.526
"NC_002607.1",64694,64814,"NC_002607.1",65221,65232,0.406
"NC_002607.1",64814,64950,"NC_002607.1",65221,65232,0.27
"NC_002607.1",64950,65055,"NC_002607.1",65221,65232,0.165
"NC_002607.1",65055,65074,"NC_002607.1",65221,65232,0.146
"NC_002607.1",65074,65143,"NC_002607.1",65221,65232,0.077
"NC_002607.1",65143,65151,"NC_002607.1",65221,65232,0.069
"NC_002607.1",65151,65210,"NC_002607.1",65221,65232,0.01
"NC_002607.1",65210,65864,"NC_002607.1",65221,65232,0
"NC_002607.1",65864,66362,"NC_002607.1",66177,66233,0
"NC_002607.1",66362,66368,"NC_002607.1",66177,66233,0.128
"NC_002607.1",66368,66374,"NC_002607.1",66177,66233,0.134
"NC_002607.1",66374,66685,"NC_002607.1",66616,66630,0
"NC_002607.1",66685,66825,"NC_002607.1",66686,66701,0
"NC_002607.1",66825,66962,"NC_002607.1",66686,66701,0.123
"NC_002607.1",66962,67007,"NC_002607.1",66686,66701,0.26
"NC_002607.1",67007,67071,"NC_002607.1",66686,66701,0.305
"NC_002607.1",67071,67249,"NC_002607.1",67389,67405,0.139
"NC_002607.1",67249,67279,"NC_002607.1",67389,67405,0.109
"NC_002607.1",67279,67499,"NC_002607.1",67389,67405,0
"NC_002607.1",67499,67575,"NC_002607.1",67389,67405,0.093
"NC_002607.1",67575,67638,"NC_002607.1",67671,67685,0.032
"NC_002607.1",67638,67699,"NC_002607.1",67671,67685,0
"NC_002607.1",67699,67987,"NC_002607.1",67722,67736,0
"NC_002607.1",67987,68011,"NC_002607.1",67994,68006,0
"NC_002607.1",68011,68050,"NC_002607.1",67994,68006,0.004
"NC_002607.1",68050,68167,"NC_002607.1",67994,68006,0.043
"NC_002607.1",68167,68267,"NC_002607.1",67994,68006,0.16
"NC_002607.1",68267,68330,"NC_002607.1",67994,68006,0.26
"NC_002607.1",68330,68346,"NC_002607.1",67994,68006,0.323
"NC_002607.1",68346,68460,"NC_002607.1",67994,68006,0.339
"NC_002607.1",68460,68566,"NC_002607.1",68858,68887,0.291
"NC_002607.1",68566,68605,"NC_002607.1",68858,68887,0.252
"NC_002607.1",68605,68938,"NC_002607.1",68858,68887,0
"NC_002607.1",68938,69144,"NC_002607.1",68858,68887,0.05
"NC_002607.1",69144,69291,"NC_002607.1",69297,69312,0.005
"NC_002607.1",69291,69912,"NC_002607.1",69297,69312,0
"NC_002607.1",69912,70065,"NC_002607.1",70238,70256,0.172
"NC_002607.1",70065,70124,"NC_002607.1",70238,70256,0.113
"NC_002607.1",70124,70132,"NC_002607.1",70238,70256,0.105
"NC_002607.1",70132,70556,"NC_002607.1",70238,70256,0
"NC_002607.1",70556,70632,"NC_002607.1",70583,70598,0
"NC_002607.1",70632,70895,"NC_002607.1",70590,70603,0.028
"NC_002607.1",70895,71200,"NC_002607.1",71243,71340,0.042
"NC_002607.1",71200,71256,"NC_002607.1",71243,71340,0
"NC_002607.1",71256,71413,"NC_002607.1",71243,71340,0
"NC_002607.1",71413,71437,"NC_002607.1",71243,71340,0.072
"NC_002607.1",71437,71609,"NC_002607.1",71243,71340,0.096
"NC_002607.1",71609,71738,"NC_002607.1",71765,71780,0.026
"NC_002607.1",71774,71817,"NC_002607.1",71765,71780,0
"NC_002607.1",71817,71845,"NC_002607.1",71765,71780,0.036
"NC_002607.1",71845,71984,"NC_002607.1",71765,71780,0.064
"NC_002607.1",71984,72168,"NC_002607.1",71765,71780,0.203
"NC_002607.1",72168,72352,"NC_002607.1",72553,72565,0.2
"NC_002607.1",72352,72577,"NC_002607.1",72553,72565,0
"NC_002607.1",72577,72727,"NC_002607.1",72598,72613,0
"NC_002607.1",72727,72806,"NC_002607.1",72598,72613,0.113
"NC_002607.1",72806,72941,"NC_002607.1",72598,72613,0.192
"NC_002607.1",72988,73004,"NC_002607.1",73162,73174,0.157
"NC_002607.1",73004,73042,"NC_002607.1",73162,73174,0.119
"NC_002607.1",73042,73140,"NC_002607.1",73162,73174,0.021
"NC_002607.1",73140,73378,"NC_002607.1",73162,73174,0
"NC_002607.1",73403,73465,"NC_002607.1",73615,73629,0.149
"NC_002607.1",73465,73506,"NC_002607.1",73615,73629,0.108
"NC_002607.1",73506,73578,"NC_002607.1",73615,73629,0.036
"NC_002607.1",73611,73645,"NC_002607.1",73615,73629,0
"NC_002607.1",73645,73700,"NC_002607.1",73615,73629,0.015
"NC_002607.1",73700,73794,"NC_002607.1",73854,73867,0.059
